,Non-transfected,shCAPN1,Change (%)
Median,"1860.66 [1786.26, 1939.12]","2275.52 [2185.21, 2358.23]",22.30
Mean,"2056.87 [2009.77, 2132.50]","2425.44 [2363.61, 2505.96]",17.92
Stdev,"876.00 [855.26, 954.93]","1050.74 [1024.91, 1122.91]",19.95
Skewness,"0.68 [0.57, 0.80]","0.37 [0.26, 0.46]",-44.80
