,Non-transfected,shLacz,Change (%)
Median,"1830.89 [1622.02, 1972.20]","1909.47 [1760.58, 2074.23]",4.29
Mean,"1987.32 [1888.45, 2161.94]","2086.61 [1971.99, 2255.43]",5.00
Stdev,"901.64 [854.65, 1060.23]","982.53 [931.85, 1148.75]",8.97
Skewness,"0.80 [0.53, 1.00]","0.57 [0.33, 0.76]",-28.59
