,Non-transfected,shLacz,Change (%)
Median,"1528.69 [1446.36, 1635.82]","1527.26 [1390.69, 1673.62]",-0.09
Mean,"1656.55 [1578.53, 1803.45]","1648.99 [1563.92, 1777.40]",-0.46
Stdev,"807.83 [773.26, 982.18]","810.32 [776.89, 933.20]",0.31
Skewness,"0.85 [0.75, 1.45]","0.57 [0.41, 0.93]",-33.29
