,FED,FASTED,Change (%)
Median,"2485.08 [2434.72, 2532.63]","2137.65 [2092.84, 2178.32]",-13.98
Mean,"2733.02 [2696.58, 2778.69]","2241.52 [2216.17, 2270.94]",-17.98
Stdev,"1373.94 [1359.84, 1443.21]","908.45 [899.29, 939.57]",-33.88
Skewness,"0.80 [0.78, 0.92]","0.44 [0.40, 0.53]",-45.09
