,FED,FASTED,Change (%)
Median,"2050.27 [1954.53, 2116.81]","1614.45 [1527.84, 1683.99]",-21.26
Mean,"2155.84 [2085.61, 2265.96]","1689.90 [1639.62, 1760.71]",-21.61
Stdev,"1084.09 [1051.88, 1199.71]","744.62 [725.38, 811.91]",-31.31
Skewness,"0.63 [0.51, 0.76]","0.48 [0.38, 0.74]",-25.04
