,Non-transfected,shCAPN1,Change (%)
Median,"2173.49 [2054.92, 2243.46]","2154.53 [2094.22, 2244.15]",-0.87
Mean,"2516.36 [2462.93, 2624.98]","2391.18 [2343.69, 2481.52]",-4.97
Stdev,"1413.94 [1386.74, 1516.84]","1227.83 [1206.20, 1329.59]",-13.16
Skewness,"0.96 [0.85, 1.03]","0.95 [0.89, 1.22]",-0.43
